"Date","Amount","Credit or Debit","Check Number","Description"
"9/11/2012","$60.00","Debit","","POS SOS REGISTR SOS REGISTRATION FEE 303-894-2200 CO"
"9/11/2012","$105.00","Debit","1028","Check #1028"
"9/10/2012","$3,390.00","Debit","","Miscellaneous Debit"
"9/7/2012","$500.00","Debit","1027","Check #1027"
"9/5/2012","$3,949.00","Credit","","WIRE"
"8/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"8/29/2012","$120.00","Debit","1026","Check #1026"
"8/24/2012","$500.00","Debit","1025","Check #1025"
"8/16/2012","$661.00","Credit","","WIRE"
"8/14/2012","$4.08","Debit","","POS KALL8 KALL8 866-2221818 WA"
"8/10/2012","$350.30","Debit","","POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN"
"7/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"7/20/2012","$120.00","Debit","","Check"
"7/19/2012","$500.00","Debit","1023","Check #1023"
"7/13/2012","$2,320.00","Credit","","WIRE"
"7/12/2012","$4.08","Debit","","POS KALL8 KALL8 866-2221818 WA"
"7/3/2012","$73.45","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"6/29/2012","$10.00","Debit","","MAINTENANCE FEE"
"6/28/2012","$360.00","Debit","","POS DATA 102 LL DATA 102 LLC COLORADO SPRI CO"
"6/27/2012","$38.00","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"6/22/2012","$73.45","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"6/12/2012","$4.17","Debit","","POS KALL8 KALL8 866-2221818 WA"
"6/12/2012","$500.00","Debit","1022","Check #1022"
"6/1/2012","$500.00","Credit","","ACH PPD: PAYPAL TRANSFER"
"5/31/2012","$77.90","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"5/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"5/18/2012","$1.50","Debit","","POS USPS 079810 300 W SOUTH AVE WOODLAND PARK CO"
"5/15/2012","$4.00","Debit","","POS KALL8 KALL8 866-2221818 WA"
"5/7/2012","$377.49","Debit","","POS AMAZON MKTP AMAZON MKTPLACE PMTS AMZN.COM-BILL WA"
"5/7/2012","$152.05","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"4/30/2012","$10.00","Debit","","MAINTENANCE FEE"
"4/27/2012","$366.00","Debit","1021","Check #1021"
"4/25/2012","$59.20","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"4/19/2012","$502.92","Debit","","POS DKC*DIGI KE DKC*DIGI KEY CORP 800-344-4539 MN"
"4/12/2012","$4.20","Debit","","POS KALL8 KALL8 866-2221818 WA"
"4/2/2012","$435.00","Debit","","POS H+R BLOCK 6 H+R BLOCK 6951 COLORADO SPRI CO"
"3/30/2012","$10.00","Debit","","MAINTENANCE FEE"
"3/13/2012","$4.92","Debit","","POS KALL8 KALL8 866-2221818 WA"
"3/12/2012","$136.88","Debit","1020","Check #1020"
"3/1/2012","$246.00","Debit","1019","Check #1019"
"2/29/2012","$10.00","Debit","","MAINTENANCE FEE"
"2/28/2012","$28.25","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"2/14/2012","$4.43","Debit","","POS KALL8 KALL8 866-2221818 WA"
"1/31/2012","$10.00","Debit","","MAINTENANCE FEE"
"1/20/2012","$42.00","Debit","","POS USPS 079810 USPS 07981007830313597 WOODLAND PARK CO"
"1/18/2012","$60.00","Debit","1014","Check #1014"
"1/12/2012","$4.40","Debit","","POS KALL8 KALL8 866-2221818 WA"
"1/9/2012","$120.00","Debit","1018","Check #1018"
"1/4/2012","$5,288.00","Debit","","Miscellaneous Debit"
"1/4/2012","$964.00","Debit","","Miscellaneous Debit"
"1/3/2012","$37.58","Debit","","POS GOOGLE*7398 GOOGLE*7398671080 CC@GOOGLE.COM CA"
